"id","word","strongs","usage_count"
893,"feed","07462",55
894,"about","05437",55
895,"hand","03709",55
896,"side","05676",55
897,"musician","05329",55
898,"themselves","1438",55
899,"received","2983",55
900,"forth","07971",54
901,"again","03254",54
902,"abram","087",54
903,"flocks","06629",54
904,"valley","06010",54
905,"worship","07812",54
906,"goats","05795",54
907,"sit","03427",54
908,"cried","07121",54
909,"ox","07794",54
910,"seek","01875",54
911,"then","0116",54
912,"live","2198",54
913,"first","4412",54
914,"time","2540",54
915,"walk","4043",54
916,"not","3364",54
917,"servants","1401",54
918,"to","2596",54
919,"on","1519",54
920,"cattle","0929",53
921,"earth","0127",53
922,"looked","07200",53
923,"above","04605",53
924,"flee","05127",53
925,"sought","01245",53
926,"sacrifices","02077",53
927,"right","03477",53
928,"prepared","03559",53
929,"continually","08548",53
930,"davids","01732",53
931,"josiah","02977",53
932,"fruit","2590",53
933,"took","2983",53
934,"saved","4982",53
935,"fallen","05307",52
936,"beasts","0929",52
937,"walk","01980",52
938,"together","0622",52
939,"praise","03034",52
940,"honey","01706",52
941,"abomination","08441",52
942,"burden","04853",52
943,"flour","05560",52
944,"lambs","03532",52
945,"altars","04196",52
946,"valley","01516",52
947,"praise","08416",52
948,"zadok","06659",52
949,"esther","0635",52
950,"mary","3137",52
951,"out","1544",52
952,"because","1223",52
953,"faithful","4103",52
954,"pilate","4091",52
955,"hope","1680",52
956,"fourth","07243",51
957,"end","07093",51
958,"opened","06605",51
959,"nakedness","06172",51
960,"made","03772",51
961,"captain","08269",51
962,"laban","03837",51
963,"wrought","06213",51
964,"feast","02282",51
965,"first","01121",51
966,"army","02428",51
967,"sockets","0134",51
968,"jehoiada","03077",51
969,"acts","01697",51
970,"opened","455",51
971,"me","3450",51
972,"followed","190",51
973,"thine","4675",51
974,"will","2309",51
975,"not","3780",51
976,"himself","846",51
977,"in","1525",51
978,"done","4160",51
979,"priest","749",51
980,"surely","04191",50
981,"tents","0168",50
982,"end","07097",50
983,"blessing","01293",50
984,"naphtali","05321",50
985,"cover","03680",50
986,"east","06921",50
987,"blue","08504",50
988,"wall","07023",50
989,"choose","0977",50
990,"treasures","0214",50
991,"rehoboam","07346",50
992,"all","03606",50
993,"daniel","01841",50
994,"did","4160",50
995,"of","3844",50
996,"sent","3992",50
997,"joy","5479",50
998,"throne","2362",50
999,"be","5600",50
1000,"can","1410",50
1001,"that","3363",50
1002,"are","2076",50
1003,"wisdom","4678",50
1004,"my","1699",50
1005,"made","4160",50
1006,"evening","06153",49
1007,"clean","02889",49
1008,"greatly","03966",49
1009,"camels","01581",49
1010,"things","01697",49
1011,"noise","06963",49
1012,"open","06605",49
1013,"desolate","08074",49
1014,"kingdom","04438",49
1015,"haman","02001",49
1016,"but","1508",49
1017,"evil","4190",49
1018,"amen","281",49
1019,"entered","1525",49
1020,"yet","2089",49
1021,"remembered","02142",48
1022,"countries","0776",48
1023,"almighty","07706",48
1024,"little","04592",48
1025,"asked","07592",48
1026,"loved","0157",48
1027,"made","07760",48
1028,"forget","07911",48
1029,"new","02319",48
1030,"full","04390",48
1031,"lord","03050",48
1032,"trumpet","07782",48
1033,"minister","08334",48
1034,"ephod","0646",48
1035,"out","08210",48
1036,"iniquities","05771",48
1037,"river","05158",48
1038,"kingdoms","04467",48
1039,"doors","01817",48
1040,"azariah","05838",48
1041,"not","03809",48
1042,"vanity","01892",48
1043,"own","846",48
1044,"enter","1525",48
1045,"face","4383",48
1046,"over","1909",48
1047,"harvest","07105",47
1048,"departed","03212",47
1049,"west","03220",47
1050,"ishmael","03458",47
1051,"household","01004",47
1052,"horns","07161",47
1053,"matter","01697",47
1054,"weight","04948",47
1055,"threescore","08346",47
1056,"power","03581",47
1057,"speak","0559",47
1058,"sacrifice","02076",47
1059,"pestilence","01698",47
1060,"turned","02015",47
1061,"villages","02691",47
1062,"rock","05553",47
1063,"iniquity","0205",47
1064,"strong","02388",47
1065,"kingdom","04437",47
1066,"when","1161",47
1067,"whose","3739",47
1068,"children","5207",47
1069,"cannot","1410",47
1070,"under","5259",47
1071,"no","3361",47
1072,"words","3056",47
1073,"both","2532",47
1074,"are","2070",47
1075,"write","1125",47
1076,"pharaohs","06547",46
1077,"could","03201",46
1078,"look","07200",46
1079,"thousands","0505",46
1080,"charge","04931",46
1081,"left","03498",46
1082,"declare","05046",46
1083,"fields","07704",46
1084,"coast","01366",46
1085,"rest","05117",46
1086,"transgressions","06588",46
1087,"out","03423",46
1088,"idols","01544",46
1089,"forsake","05800",46
1090,"make","4160",46
1091,"master","1320",46
1092,"see","991",46
1093,"like","3664",46
1094,"but","2532",46
1095,"last","2078",46
1096,"work","2041",46
1097,"sanctified","06942",45
1098,"savour","07381",45
1099,"youth","05271",45
1100,"shadow","06738",45
1101,"sold","04376",45
1102,"is","03426",45
1103,"zebulun","02074",45
1104,"witness","05707",45
1105,"defiled","02930",45
1106,"vine","01612",45
1107,"passover","06453",45
1108,"vineyards","03754",45
1109,"taken","03920",45
1110,"joash","03101",45
